id,category,keyword,definition,source_refs
1,standardization_and_reporting,RADS,"Standardized ACR framework for characterizing and reporting imaging findings to improve communication between radiologists and clinicians.","1;13"
2,standardization_and_reporting,Lung-RADS,"Lung CT screening RADS system that standardizes reporting and management recommendations for lung cancer screening CT (versions v1.0, v1.1, v2022).","1"
3,standardization_and_reporting,RadLex,"RSNA-controlled radiology terminology ontology (75,000+ terms) enabling interoperability and semantic parsing of radiology reports.","2;12"
4,standardization_and_reporting,LOINC_RSNA_Radiology_Playbook,"Standard system for naming and coding radiology procedures, harmonizing exam codes across practices.","2;12"
5,standardization_and_reporting,structured_report,"Radiology report with logical, uniform structure built on checklists or knowledge trees, aimed at answering a clinical question and reducing diagnostic error.","7"
6,standardization_and_reporting,contextualized_report,"Structured report tailored to the patient's clinical context to ensure it answers specific clinical questions efficiently.","7"
7,standardization_and_reporting,knowledge_tree_checklist,"Disease-specific structured questions guiding systematic imaging interpretation and structured report creation.","7"
8,standardization_and_reporting,computer_assisted_reporting_template,"Software template (e.g., Lung-RADS Assistant) providing standardized structure and terminology to streamline reporting.","1;7"
9,radiologist_cognition_and_diagnostics,radiology_errors,"Disruptive problems in radiology reports often caused by cognitive biases and perceptual limits.","3"
10,radiologist_cognition_and_diagnostics,management_defining_findings,"Critical findings that, if missed or ambiguously reported, delay care and affect major clinical decisions (e.g., admission or surgery).","3"
11,radiologist_cognition_and_diagnostics,perceptual_limits,"Limitations in a radiologist's ability to visually perceive findings, contributing to diagnostic error.","3"
12,radiologist_cognition_and_diagnostics,negation_laterality_errors,"Report errors involving dropped negations or incorrect left/right laterality, leading to misinterpretation.","3"
13,radiologist_cognition_and_diagnostics,word_economy,"Reporting guideline encouraging concise wording and avoidance of unnecessary words that do not add value.","3;7"
14,radiologist_cognition_and_diagnostics,interobserver_concordance,"Degree of agreement between radiologists when interpreting images; improved by structured and standardized reporting.","7"
15,radiologist_cognition_and_diagnostics,differential_diagnosis,"List of alternative diagnoses considered; radiology reports should usually limit this to three plausible options to avoid confusion.","8"
16,radiologist_cognition_and_diagnostics,classic_signs_eponyms,"Distinctive radiologic patterns that strongly suggest particular diagnoses and increase diagnostic confidence.","9"
17,radiologist_cognition_and_diagnostics,empty_delta_sign,"Contrast-enhanced CT sign of dural venous sinus thrombosis: nonenhancing thrombus centrally with enhancing triangular dural margins.","9"
18,radiologist_cognition_and_diagnostics,reversal_sign,"CT "white cerebellum" pattern with diffuse low density of cerebral hemispheres and relatively high density of cerebellum/brainstem, indicating severe, often irreversible brain injury.","9"
19,radiologist_cognition_and_diagnostics,hot_cross_bun_sign,"T2-weighted MRI cruciform hyperintensity in the pons, typically associated with multisystem atrophy.","9"
20,imaging_biomarkers_and_computation,imaging_biomarker_radiomics,"Biologic feature detectable on imaging; in radiomics, refers to computer-extracted quantitative imaging features linked to diagnosis or outcome.","4;11"
21,imaging_biomarkers_and_computation,quantitative_imaging_biomarker,"Objective characteristic derived from in vivo images on a ratio or interval scale, indicating normal processes, disease, or response to therapy.","4;11"
22,imaging_biomarkers_and_computation,named_entity_recognition_NER,"NLP process that extracts entities (e.g., disease names, anatomical sites) from free-text radiology reports for downstream analysis.","2"
23,imaging_biomarkers_and_computation,cTAKES,"Clinical Text Analysis and Knowledge Extraction System; an NLP platform with dictionary-based NER for EMR free text.","2"
24,imaging_biomarkers_and_computation,stem_term,"Modified or core term of a compound term (e.g., "effusion," "node," "tube," "disease"); used to expand dictionary-based vocabularies.","2"
25,imaging_biomarkers_and_computation,compound_term,"Multiword term with varied linguistic patterns that is difficult to capture using standard terminologies alone.","2"
26,imaging_biomarkers_and_computation,CtED,"Compound Terms–Enhanced Dictionary created by adding missed compound terms and removing false positives to improve NER performance.","2"
27,imaging_biomarkers_and_computation,occurrence_ratio_OR,"Metric describing frequency of stem terms in true positives or false negatives for dictionary-based NER.","2"
28,imaging_biomarkers_and_computation,matching_ratio_MR,"Metric describing fraction of stem terms in false negatives that are matched by dictionaries (e.g., RadLex, SNOMED-CT).","2"
29,imaging_biomarkers_and_computation,convolutional_neural_network_CNN,"Deep learning architecture used for image classification tasks such as lung nodule classification, extracting complex "deep" features.","4"
30,imaging_biomarkers_and_computation,haralick_laws_gabor_features,"Families of texture-based radiomic features, including wavelet-based Gabor responses, extracted from intra- and perinodular regions to characterize heterogeneity.","4"
